Country	Male 	Female 	ID	id_row   
Afghanistan	238	193	Q889	0
Albania	93	49	Q222	1
Algeria	103	81	Q262	2
Angola	327	220	Q916	3
Antigua and Barbuda	127	83	Q781	4
Argentina	147	79	Q414	5
Armenia	173	66	Q399	6
Aruba	111	69	Q21203	7
Australia	76	45	Q408	8
Austria	79	42	Q40	9
Azerbaijan	149	89	Q227	10
Bahamas, The	194	117	Q778	11
Bahrain	72	56	Q398	12
Bangladesh	151	115	Q902	13
Barbados	130	92	Q244	14
Belarus	235	83	Q184	15
Belgium	80	49	Q31	16
Belize	214	118	Q242	17
Benin	259	211	Q962	18
Bhutan	197	195	Q917	19
Bolivia	219	138	Q750	20
Bosnia and Herzegovina	115	60	Q225	21
Botswana	249	162	Q963	22
Brazil	189	91	Q155	23
Brunei Darussalam	144	99	Q921	24
Bulgaria	184	86	Q219	25
Burkina Faso	260	228	Q965	26
Burundi	311	253	Q967	27
Cabo Verde	182	86	Q1011	28
Cambodia	200	132	Q424	29
Cameroon	318	281	Q1009	30
Canada	83	52	Q16	31
Central African Republic	453	371	Q929	32
Chad	378	335	Q657	33
Channel Islands	48	33	Q42314	34
Chile	108	59	Q298	35
China	94	60	Q148	36
Hong Kong SAR, China	62	33	Q8646	37
Macao SAR, China	58	24	Q14773	38
Colombia	152	78	Q739	39
Comoros	246	194	Q970	40
Congo, Dem. Rep.	274	225	Q974	41
Congo, Rep.	280	240	Q971	42
Costa Rica	113	57	Q800	43
Cote d'Ivoire	361	325	Q1008	44
Croatia	118	50	Q224	45
Cuba	113	74	Q241	46
Curacao	130	63	Q25279	47
Cyprus	65	33	Q229	48
Czech Republic	109	51	Q213	49
Denmark	82	52	Q35	50
Djibouti	232	178	Q977	51
Dominican Republic	197	115	Q786	52
Ecuador	161	88	Q736	53
Egypt, Arab Rep.	183	105	Q79	54
El Salvador	268	103	Q792	55
Equatorial Guinea	334	295	Q983	56
Eritrea	276	202	Q986	57
Estonia	155	56	Q191	58
Eswatini	480	310	Q1050	59
Ethiopia	237	185	Q115	60
Fiji	257	175	Q712	61
Finland	89	44	Q33	62
France	95	48	Q142	63
French Polynesia	113	66	Q30971	64
Gabon	238	182	Q1000	65
Gambia, The	280	224	Q1005	66
Georgia	222	77	Q230	67
Germany	87	48	Q183	68
Ghana	255	214	Q117	69
Greece	94	42	Q41	70
Grenada	179	118	Q769	71
Guam	80	39	Q16635	72
Guatemala	201	111	Q774	73
Guinea	260	233	Q1006	74
Guinea-Bissau	374	301	Q1007	75
Guyana	269	182	Q734	76
Haiti	257	197	Q790	77
Honduras	167	116	Q783	78
Hungary	168	81	Q28	79
Iceland	66	38	Q189	80
India	204	147	Q668	81
Indonesia	178	126	Q252	82
Iran, Islamic Rep.	83	50	Q794	83
Iraq	186	129	Q796	84
Ireland	71	42	Q27	85
Israel	71	40	Q801	86
Italy	65	37	Q38	87
Jamaica	175	104	Q766	88
Japan	66	36	Q17	89
Jordan	124	89	Q810	90
Kazakhstan	221	94	Q232	91
Kenya	265	195	Q114	92
Kiribati	235	153	Q710	93
Korea, Dem. Peopleâ€™s Rep.	162	96	Q423	94
Korea, Rep.	79	32	Q884	95
Kuwait	69	41	Q817	96
Kyrgyz Republic	211	94	Q813	97
Lao PDR	206	157	Q819	98
Latvia	229	85	Q211	99
Lebanon	76	53	Q822	100
Lesotho	546	419	Q1013	101
Liberia	247	207	Q1014	102
Libya	180	99	Q1016	103
Lithuania	213	79	Q37	104
Luxembourg	66	41	Q32	105
Madagascar	233	182	Q1019	106
Malawi	325	212	Q1020	107
Malaysia	160	84	Q833	108
Maldives	67	42	Q826	109
Mali	264	245	Q912	110
Malta	64	35	Q233	111
Mauritania	218	176	Q1025	112
Mauritius	188	94	Q1027	113
Mexico	184	96	Q96	114
Micronesia, Fed. Sts.	178	146	Q702	115
Moldova	237	96	Q217	116
Mongolia	288	123	Q711	117
Montenegro	125	66	Q236	118
Morocco	72	62	Q1028	119
Mozambique	390	268	Q1029	120
Myanmar	248	150	Q836	121
Namibia	349	249	Q1030	122
Nepal	167	130	Q837	123
Netherlands	66	51	Q55	124
New Caledonia	98	57	Q33788	125
New Zealand	81	53	Q664	126
Nicaragua	201	103	Q811	127
Niger	252	223	Q1032	128
Nigeria	364	325	Q1033	129
North Macedonia	120	63	Q221	130
Norway	62	39	Q20	131
Oman	101	63	Q842	132
Pakistan	173	138	Q843	133
Panama	148	77	Q804	134
Papua New Guinea	251	188	Q691	135
Paraguay	164	121	Q733	136
Peru	146	85	Q419	137
Philippines	235	131	Q928	138
Poland	161	62	Q36	139
Portugal	104	42	Q45	140
Puerto Rico	146	63	Q1183	141
Qatar	41	32	Q846	142
Romania	172	73	Q218	143
Russian Federation	322	120	Q159	144
Rwanda	216	162	Q1037	145
Samoa	138	81	Q683	146
Sao Tome and Principe	188	124	Q1039	147
Saudi Arabia	92	76	Q851	148
Senegal	216	145	Q1041	149
Serbia	142	75	Q403	150
Seychelles	202	98	Q1042	151
Sierra Leone	392	353	Q1044	152
Singapore	60	35	Q334	153
Slovak Republic	145	64	Q214	154
Slovenia	91	45	Q215	155
Solomon Islands	163	125	Q685	156
Somalia	325	269	Q1045	157
South Africa	376	249	Q258	158
South Sudan	351	301	Q958	159
Spain	75	38	Q29	160
Sri Lanka	151	56	Q854	161
St. Lucia	175	97	Q760	162
St. Vincent and the Grenadines	207	125	Q757	163
Sudan	245	187	Q1049	164
Suriname	220	118	Q730	165
Sweden	62	38	Q34	166
Switzerland	58	36	Q39	167
Syrian Arab Republic	237	73	Q858	168
Tajikistan	165	96	Q863	169
Tanzania	250	193	Q924	170
Thailand	187	78	Q869	171
Timor-Leste	169	117	Q574	172
Togo	278	244	Q945	173
Tonga	214	121	Q678	174
Trinidad and Tobago	186	109	Q754	175
Tunisia	107	67	Q948	176
Turkey	119	62	Q43	177
Turkmenistan	244	128	Q874	178
Uganda	302	233	Q1036	179
Ukraine	292	111	Q212	180
United Arab Emirates	70	45	Q878	181
United Kingdom	86	55	Q145	182
United States	139	82	Q30	183
Uruguay	139	76	Q77	184
