Country	Mortalityrate1990	Mortalityrate2019	ID	id_row
Afghanistan	120	47	Q889	0
Albania	36	9	Q222	1
Algeria	42	20	Q262	2
Andorra	9	3	Q228	3
Angola	131	50	Q916	4
Antigua and Barbuda	12	6	Q781	5
Argentina	25	8	Q414	6
Armenia	42	11	Q399	7
Australia	8	3	Q408	8
Austria	8	3	Q40	9
Azerbaijan	76	18	Q227	10
Bahamas, The	20	11	Q778	11
Bahrain	20	6	Q398	12
Bangladesh	100	26	Q902	13
Barbados	16	12	Q244	14
Belarus	12	2	Q184	15
Belgium	8	3	Q31	16
Belize	31	11	Q242	17
Benin	106	59	Q962	18
Bhutan	89	24	Q917	19
Bolivia	84	21	Q750	20
Bosnia and Herzegovina	16	5	Q225	21
Botswana	36	32	Q963	22
Brazil	52	12	Q155	23
Brunei Darussalam	10	10	Q921	24
Bulgaria	15	6	Q219	25
Burkina Faso	99	54	Q965	26
Burundi	105	40	Q967	27
Cabo Verde	47	13	Q1011	28
Cambodia	85	23	Q424	29
Cameroon	84	50	Q1009	30
Canada	7	4	Q16	31
Central African Republic	116	81	Q929	32
Chad	112	69	Q657	33
Chile	16	6	Q298	34
China	42	7	Q148	35
Colombia	29	12	Q739	36
Comoros	88	48	Q970	37
Congo, Dem. Rep.	119	66	Q974	38
Congo, Rep.	59	35	Q971	39
Costa Rica	14	8	Q800	40
Cote d'Ivoire	104	59	Q1008	41
Croatia	11	4	Q224	42
Cuba	11	4	Q241	43
Cyprus	10	2	Q229	44
Czech Republic	10	3	Q213	45
Denmark	7	3	Q35	46
Djibouti	92	48	Q977	47
Dominica	13	31	Q784	48
Dominican Republic	46	24	Q786	49
Ecuador	42	12	Q736	50
Egypt, Arab Rep.	63	17	Q79	51
El Salvador	46	11	Q792	52
Equatorial Guinea	120	60	Q983	53
Eritrea	94	31	Q986	54
Estonia	14	2	Q191	55
Eswatini	51	39	Q1050	56
Ethiopia	119	37	Q115	57
Fiji	24	22	Q712	58
Finland	6	2	Q33	59
France	7	4	Q142	60
Gabon	60	31	Q1000	61
Gambia, The	82	36	Q1005	62
Georgia	41	9	Q230	63
Germany	7	3	Q183	64
Ghana	80	34	Q117	65
Greece	9	3	Q41	66
Grenada	18	15	Q769	67
Guatemala	59	21	Q774	68
Guinea	137	64	Q1006	69
Guinea-Bissau	131	52	Q1007	70
Guyana	46	24	Q734	71
Haiti	100	48	Q790	72
Honduras	45	15	Q783	73
Hungary	15	3	Q28	74
Iceland	5	2	Q189	75
India	89	28	Q668	76
Indonesia	62	20	Q252	77
Iran, Islamic Rep.	44	12	Q794	78
Iraq	42	22	Q796	79
Ireland	8	3	Q27	80
Israel	10	3	Q801	81
Italy	8	3	Q38	82
Jamaica	25	12	Q766	83
Japan	5	2	Q17	84
Jordan	30	13	Q810	85
Kazakhstan	44	9	Q232	86
Kenya	65	32	Q114	87
Kiribati	69	40	Q710	88
Korea, Dem. Peopleâ€™s Rep.	33	13	Q423	89
Korea, Rep.	13	3	Q884	90
Kuwait	15	7	Q817	91
Kyrgyz Republic	54	16	Q813	92
Lao PDR	105	36	Q819	93
Latvia	13	3	Q211	94
Lebanon	27	6	Q822	95
Lesotho	68	68	Q1013	96
Liberia	175	62	Q1014	97
Libya	36	10	Q1016	98
Lithuania	12	3	Q37	99
Luxembourg	7	2	Q32	100
Madagascar	96	37	Q1019	101
Malawi	141	31	Q1020	102
Malaysia	14	7	Q833	103
Maldives	63	7	Q826	104
Mali	120	60	Q912	105
Malta	10	6	Q233	106
Marshall Islands	39	26	Q709	107
Mauritania	71	50	Q1025	108
Mauritius	20	14	Q1027	109
Mexico	36	12	Q96	110
Micronesia, Fed. Sts.	43	25	Q702	111
Moldova	28	12	Q217	112
Monaco	6	3	Q235	113
Mongolia	77	13	Q711	114
Montenegro	15	2	Q236	115
Morocco	63	18	Q1028	116
Mozambique	162	55	Q1029	117
Myanmar	81	36	Q836	118
Namibia	49	31	Q1030	119
Nepal	97	26	Q837	120
Netherlands	7	4	Q55	121
New Zealand	9	4	Q664	122
Nicaragua	51	14	Q811	123
Niger	133	47	Q1032	124
Nigeria	124	74	Q1033	125
North Macedonia	32	5	Q221	126
Norway	7	2	Q20	127
Oman	32	10	Q842	128
Pakistan	107	56	Q843	129
Palau	30	16	Q695	130
Panama	26	13	Q804	131
Papua New Guinea	62	36	Q691	132
Paraguay	36	17	Q733	133
Peru	57	10	Q419	134
Philippines	40	22	Q928	135
Poland	15	4	Q36	136
Portugal	12	3	Q45	137
Qatar	18	6	Q846	138
Romania	24	6	Q218	139
Russian Federation	18	5	Q159	140
Rwanda	92	26	Q1037	141
Samoa	25	13	Q683	142
San Marino	12	2	Q238	143
Sao Tome and Principe	69	24	Q1039	144
Saudi Arabia	36	6	Q851	145
Senegal	71	33	Q1041	146
Serbia	24	5	Q403	147
Seychelles	14	12	Q1042	148
Sierra Leone	154	81	Q1044	149
Singapore	6	2	Q334	150
Slovak Republic	13	5	Q214	151
Slovenia	9	2	Q215	152
Solomon Islands	31	17	Q685	153
Somalia	107	74	Q1045	154
South Africa	45	28	Q258	155
South Sudan	148	62	Q958	156
Spain	7	3	Q29	157
Sri Lanka	19	6	Q854	158
St. Kitts and Nevis	25	13	Q763	159
St. Lucia	18	20	Q760	160
St. Vincent and the Grenadines	20	13	Q757	161
Sudan	82	41	Q1049	162
Suriname	39	16	Q730	163
Sweden	6	2	Q34	164
Switzerland	7	4	Q39	165
Syrian Arab Republic	30	18	Q858	166
Tajikistan	81	30	Q863	167
Tanzania	100	36	Q924	168
Thailand	30	8	Q869	169
Timor-Leste	131	38	Q574	170
Togo	89	46	Q945	171
Tonga	19	14	Q678	172
Trinidad and Tobago	27	16	Q754	173
Tunisia	43	15	Q948	174
Turkey	55	9	Q43	175
Turkmenistan	65	36	Q874	176
Tuvalu	42	20	Q672	177
Uganda	107	33	Q1036	178
Ukraine	17	7	Q212	179
United Arab Emirates	14	6	Q878	180
United Kingdom	8	4	Q145	181
United States	9	6	Q30	182
Uruguay	20	6	Q77	183
Uzbekistan	59	16	Q265	184
Vanuatu	29	22	Q686	185
Venezuela, RB	25	21	Q717	186
Vietnam	37	16	Q881	187
West Bank and Gaza	36	17	Q407199	188
Yemen, Rep.	88	44	Q805	189
Zambia	107	42	Q953	190
Zimbabwe	50	38	Q954	191
