Country	Total90	Total19	Male19	Female19	ID	id_row
Afghanistan	178	60	64	57	Q889	0
Albania	41	10	11	9	Q222	1
Algeria	50	23	25	22	Q262	2
Andorra	13	3	3	3	Q228	3
Angola	222	75	80	69	Q916	4
Antigua and Barbuda	14	7	7	6	Q781	5
Argentina	29	9	10	8	Q414	6
Armenia	49	12	13	11	Q399	7
Australia	9	4	4	3	Q408	8
Austria	10	4	4	3	Q40	9
Azerbaijan	95	20	22	18	Q227	10
Bahamas, The	24	13	14	12	Q778	11
Bahrain	23	7	7	7	Q398	12
Bangladesh	144	31	33	29	Q902	13
Barbados	18	13	14	12	Q244	14
Belarus	15	3	4	3	Q184	15
Belgium	10	3	4	3	Q31	16
Belize	38	12	14	11	Q242	17
Benin	175	90	96	84	Q962	18
Bhutan	127	29	31	26	Q917	19
Bolivia	122	26	29	23	Q750	20
Bosnia and Herzegovina	18	6	6	5	Q225	21
Botswana	48	42	45	38	Q963	22
Brazil	63	14	16	12	Q155	23
Brunei Darussalam	13	11	13	10	Q921	24
Bulgaria	18	7	7	6	Q219	25
Burkina Faso	199	88	92	83	Q965	26
Burundi	174	57	61	52	Q967	27
Cabo Verde	61	15	16	13	Q1011	28
Cambodia	116	27	30	23	Q424	29
Cameroon	136	75	81	69	Q1009	30
Canada	8	5	5	5	Q16	31
Central African Republic	177	110	116	104	Q929	32
Chad	212	114	120	107	Q657	33
Chile	19	7	8	6	Q298	34
China	54	8	8	7	Q148	35
Colombia	35	14	15	12	Q739	36
Comoros	124	63	68	58	Q970	37
Congo, Dem. Rep.	185	85	91	78	Q974	38
Congo, Rep.	90	48	52	44	Q971	39
Costa Rica	17	9	9	8	Q800	40
Cote d'Ivoire	152	79	87	71	Q1008	41
Croatia	13	5	5	4	Q224	42
Cuba	14	5	6	5	Q241	43
Cyprus	11	2	3	2	Q229	44
Czech Republic	12	3	4	3	Q213	45
Denmark	9	4	4	3	Q35	46
Djibouti	118	58	62	52	Q977	47
Dominica	17	35	39	34	Q784	48
Dominican Republic	60	28	31	25	Q786	49
Ecuador	54	14	16	12	Q736	50
Egypt, Arab Rep.	86	20	22	19	Q79	51
El Salvador	60	13	15	12	Q792	52
Equatorial Guinea	178	82	88	76	Q983	53
Eritrea	153	41	46	35	Q986	54
Estonia	18	2	3	2	Q191	55
Eswatini	67	49	54	45	Q1050	56
Ethiopia	200	51	56	45	Q115	57
Fiji	29	26	28	23	Q712	58
Finland	7	2	3	2	Q33	59
France	9	5	5	4	Q142	60
Gabon	92	43	47	38	Q1000	61
Gambia, The	167	52	56	47	Q1005	62
Georgia	48	10	11	9	Q230	63
